alpha,beta,gamma,tau,scf_cc,scf_bc,scf_bs,scf_cs
4,0.5,32,1,7.447550396,1.981474458,6.897150433,15.00557047
13,0.4,20,0.6,2.279003883,1.102107598,11.1188909,15.28027274
13,0.6,32,0.4,2.061963218,1.086477516,14.52228157,15.53672284
13,0.7,32,0.4,2.019290896,1.530374074,14.36198478,15.5451096
22,0.4,20,0.6,1.986667876,0.982353415,11.46236761,15.80982372
31,0.4,20,0.6,1.984964067,0.981165918,11.47550418,15.82578923
40,0.4,20,0.6,1.982594567,0.980827502,11.47681444,15.8278123
13,0.2,32,0.6,4.351770003,2.105113199,11.24555658,15.96655233
31,0.4,32,0.4,1.093591643,1.083662385,14.53242879,16.01307484
13,0.6,20,0.4,1.302749111,0.352698864,14.09929528,16.04204329
40,0.4,32,0.4,1.091439968,1.114969877,14.7370489,16.0551801
22,0.6,20,0.4,1.318235624,0.300185246,14.13234987,16.05951964
40,0.6,20,0.4,1.319278969,0.2966557,14.13366251,16.0607802
31,0.6,20,0.4,1.319311208,0.296913984,14.13332628,16.06082111
4,0.7,20,0.6,4.715647439,14.87812645,11.84616412,16.24270397
4,0.6,32,0.4,5.185227037,35.36809158,13.38280081,16.66158229
13,0.5,20,0.6,1.848017405,0.836640927,11.73072444,16.70570336
4,0.4,32,1,6.990413959,1.685002638,7.58118771,17.19935864
13,0.7,20,0.6,1.413217444,0.889871721,12.69294029,17.21941802
22,0.5,32,0.4,1.148392695,0.632404404,15.7144854,17.26916825
22,0.5,20,0.6,1.517080362,0.691858121,12.10229203,17.30470439
31,0.5,32,0.4,1.124091657,0.622423989,15.74187936,17.30850846
31,0.5,20,0.6,1.514405913,0.690546943,12.11644528,17.32241644
40,0.5,20,0.6,1.511611522,0.689994411,12.11881536,17.32475277
40,0.5,32,0.4,1.121510062,0.635822163,15.86086196,17.338105
13,0.2,20,1,6.319346768,0.613828733,6.559605322,17.37299155
13,0.6,20,0.6,1.609021823,0.783150861,12.43568612,17.43130916
22,0.2,32,0.6,3.821821781,1.879839879,12.22059793,17.4477965
31,0.2,32,0.6,3.804433282,1.875234835,12.23860241,17.47312389
40,0.2,32,0.6,3.803283509,1.874570253,12.24407751,17.48407143
